"condition","medcodeid","term","snomedctconceptid","snomedctdescriptionid","originalreadcode","cleansedreadcode","emiscodecategoryid","observations"
"Atopic dermatitis","6661241000006115","Prurigo pattern atopic dermatitis","402187005","1781363017","^ESCTPR666124","",31,3
"Atopic dermatitis","6661271000006111","Xerosis due to atopic dermatitis","402189008","1781365012","^ESCTXE666127","",31,3
"Atopic dermatitis","6661301000006113","Atopic dermatitis of scalp","402191000","1781367016","^ESCTAT666130","",31,15
"Atopic dermatitis","6661311000006111","Atopic eczema of scalp","402191000","1787498010","^ESCTAT666131","",31,1
"Atopic dermatitis","6661321000006115","Atopic dermatitis of face","402192007","1781368014","^ESCTAT666132","",31,9
"Atopic dermatitis","6661331000006117","Atopic eczema of face","402192007","1787499019","^ESCTAT666133","",31,2
"Atopic dermatitis","6661341000006110","Atopic dermatitis of eyelid","402193002","1781369018","^ESCTAT666134","",31,6
"Atopic dermatitis","6661361000006114","Atopic dermatitis of eyelids","402193002","1787501010","^ESCTAT666136","",31,3
"Atopic dermatitis","6661381000006116","Cheilitis due to atopic eczema","402194008","1787502015","^ESCTCH666138","",31,1
"Atopic dermatitis","6661391000006118","Infantile atopic dermatitis","402195009","1781371018","^ESCTIN666139","",31,3
"Atopic dermatitis","6661401000006116","Infantile atopic eczema","402195009","1787503013","^ESCTIN666140","",31,8
"Atopic dermatitis","6661411000006118","Childhood atopic dermatitis","402196005","1781372013","^ESCTCH666141","",32,315
"Atopic dermatitis","6661421000006114","Childhood atopic eczema","402196005","1787504019","^ESCTCH666142","",32,25
"Atopic dermatitis","6661431000006112","Adult atopic dermatitis","402197001","1781373015","^ESCTAD666143","",31,14
"Atopic dermatitis","6661441000006119","Adult atopic eczema","402197001","1787505018","^ESCTAD666144","",31,14
"Atopic dermatitis","6661461000006115","Adult atopic eczema persistent from childhood","402198006","1787506017","^ESCTAD666146","",31,1
"Atopic dermatitis","6661481000006113","Adult atopic eczema recurrent in adult life","402199003","1787507014","^ESCTAD666148","",31,4
"Atopic dermatitis","6661511000006117","Impetiginized atopic dermatitis","402201001","1781377019","^ESCTIM666151","",31,6
"Atopic dermatitis","6661521000006113","Infected atopic dermatitis","402201001","1787509012","^ESCTIN666152","",31,11
"Atopic dermatitis","14502461000006112","Atopic dermatitis of bilateral hands","238541000","4573437015","^ESCT1450246","",31,434
"Atopic dermatitis","14507041000006116","Acute atopic dermatitis of hand","402229003","4573438013","^ESCT1450704","",31,1
"Atopic dermatitis","15007501000006115","Childhood generalised erythematous atopic dermatitis","1251411007","5133290010","^ESCT1500750","",31,1
