"condition","medcodeid","term","snomedctconceptid","snomedctdescriptionid","originalreadcode","cleansedreadcode","emiscodecategoryid","observations"
"Atopic dermatitis","6661241000006115","Prurigo pattern atopic dermatitis","402187005","1781363017","^ESCTPR666124","",31,3
"Atopic dermatitis","6661271000006111","Xerosis due to atopic dermatitis","402189008","1781365012","^ESCTXE666127","",31,3
"Atopic dermatitis","6661301000006113","Atopic dermatitis of scalp","402191000","1781367016","^ESCTAT666130","",31,15
"Atopic dermatitis","6661311000006111","Atopic eczema of scalp","402191000","1787498010","^ESCTAT666131","",31,1
"Atopic dermatitis","6661321000006115","Atopic dermatitis of face","402192007","1781368014","^ESCTAT666132","",31,9
"Atopic dermatitis","6661331000006117","Atopic eczema of face","402192007","1787499019","^ESCTAT666133","",31,2
"Atopic dermatitis","6661341000006110","Atopic dermatitis of eyelid","402193002","1781369018","^ESCTAT666134","",31,6
"Atopic dermatitis","6661361000006114","Atopic dermatitis of eyelids","402193002","1787501010","^ESCTAT666136","",31,3
"Atopic dermatitis","6661381000006116","Cheilitis due to atopic eczema","402194008","1787502015","^ESCTCH666138","",31,1
"Atopic dermatitis","6661391000006118","Infantile atopic dermatitis","402195009","1781371018","^ESCTIN666139","",31,3
"Atopic dermatitis","6661401000006116","Infantile atopic eczema","402195009","1787503013","^ESCTIN666140","",31,8
"Atopic dermatitis","6661411000006118","Childhood atopic dermatitis","402196005","1781372013","^ESCTCH666141","",32,315
"Atopic dermatitis","6661421000006114","Childhood atopic eczema","402196005","1787504019","^ESCTCH666142","",32,25
"Atopic dermatitis","6661431000006112","Adult atopic dermatitis","402197001","1781373015","^ESCTAD666143","",31,14
"Atopic dermatitis","6661441000006119","Adult atopic eczema","402197001","1787505018","^ESCTAD666144","",31,14
"Atopic dermatitis","6661461000006115","Adult atopic eczema persistent from childhood","402198006","1787506017","^ESCTAD666146","",31,1
"Atopic dermatitis","6661481000006113","Adult atopic eczema recurrent in adult life","402199003","1787507014","^ESCTAD666148","",31,4
"Atopic dermatitis","6661511000006117","Impetiginized atopic dermatitis","402201001","1781377019","^ESCTIM666151","",31,6
"Atopic dermatitis","6661521000006113","Infected atopic dermatitis","402201001","1787509012","^ESCTIN666152","",31,11
"Atopic dermatitis","14502461000006112","Atopic dermatitis of bilateral hands","238541000","4573437015","^ESCT1450246","",31,434
"Atopic dermatitis","14507041000006116","Acute atopic dermatitis of hand","402229003","4573438013","^ESCT1450704","",31,1
"Atopic dermatitis","15007501000006115","Childhood generalised erythematous atopic dermatitis","1251411007","5133290010","^ESCT1500750","",31,1
"Vascular dementia","149347010","Binswanger's disease","90099008","149347010","F21y2","F21y200",32,701
"Vascular dementia","294652012","Uncomplicated arteriosclerotic dementia","191463004","294652012","E0040","E004000",32,1355
"Vascular dementia","294653019","Arteriosclerotic dementia with delirium","191464005","294653019","E0041","E004100",32,116
"Vascular dementia","294654013","Arteriosclerotic dementia with paranoia","191465006","294654013","E0042","E004200",32,446
"Vascular dementia","294655014","Arteriosclerotic dementia with depression","191466007","294655014","E0043","E004300",32,846
"Vascular dementia","294656010","Arteriosclerotic dementia NOS","56267009","497559016","E004z","E004z00",32,2513
"Vascular dementia","295680015","[X]Other vascular dementia","429998004","2770951017","Eu01y","Eu01y00",32,2355
"Vascular dementia","295681016","[X]Vascular dementia, unspecified","429998004","2770951017","Eu01z","Eu01z00",32,28443
"Vascular dementia","497559016","Arteriosclerotic dementia","56267009","497559016","E004","E004.00",32,63937
"Vascular dementia","1235534016","Binswanger's encephalopathy","90099008","1235534016","F21y2-1","F21y211",32,73
"Vascular dementia","363791000006112","[X]Arteriosclerotic dementia","56267009","497559016","Eu01-1","Eu01.11",32,7974
"Vascular dementia","398571000006112","Mixed cortical and subcortical vascular dementia","230287006","345112018","Eu013","Eu01300",32,16077
"Vascular dementia","399031000006111","[X]Multi-infarct dementia","56267009","93568017","Eu011","Eu01100",32,12896
"Vascular dementia","428201000006119","Subcortical vascular dementia","230286002","345111013","Eu012","Eu01200",32,10269
"Vascular dementia","431681000006117","Vascular dementia","429998004","2770951017","Eu01","Eu01.00",32,830687
"Vascular dementia","431691000006119","Vascular dementia of acute onset","230285003","345110014","Eu010","Eu01000",32,1832
"Vascular dementia","696161000006115","Multi-infarct dementia","56267009","93568017","E004-1","E004.11",32,42240
"Vascular dementia","914921000006117","[D] Vascular dementia","914921000006101","914921000006117","EMISNQDV1","",32,1984
"Vascular dementia","1972481000006114","Vascular dementia of acute onset, without additional symptoms","1972481000006105","1972481000006114","EMISICD10|F0100","",32,17
"Vascular dementia","1972501000006116","Vascular dementia of acute onset, other symptoms, predominantly delusional","1972501000006100","1972501000006116","EMISICD10|F0101","",32,4
"Vascular dementia","1972571000006110","Vascular dementia of acute onset, other mixed symptoms","1972571000006106","1972571000006110","EMISICD10|F0104","",32,23
"Vascular dementia","1972621000006113","Multi-infarct dementia, other symptoms, predominantly delusional","1972621000006109","1972621000006113","EMISICD10|F0111","",32,1
"Vascular dementia","1972661000006119","Multi-infarct dementia, other symptoms, predominantly depressive","1972661000006103","1972661000006119","EMISICD10|F0113","",32,2
"Vascular dementia","1972681000006112","Multi-infarct dementia, other mixed symptoms","1972681000006108","1972681000006112","EMISICD10|F0114","",32,83
"Vascular dementia","1972711000006113","Subcortical vascular dementia, without additional symptoms","1972711000006109","1972711000006113","EMISICD10|F0120","",32,5
"Vascular dementia","1972731000006119","Subcortical vascular dementia, other symptoms, predominantly delusional","1972731000006103","1972731000006119","EMISICD10|F0121","",32,1
"Vascular dementia","1972751000006114","Subcortical vascular dementia, other symptoms, predominantly hallucinatory","1972751000006105","1972751000006114","EMISICD10|F0122","",32,14
"Vascular dementia","1972771000006116","Subcortical vascular dementia, other symptoms, predominantly depressive","1972771000006100","1972771000006116","EMISICD10|F0123","",32,5
"Vascular dementia","1972791000006115","Subcortical vascular dementia, other mixed symptoms","1972791000006104","1972791000006115","EMISICD10|F0124","",32,25
"Vascular dementia","1972821000006112","Mixed cortical and subcortical vascular dementia, without additional symptoms","1972821000006108","1972821000006112","EMISICD10|F0130","",32,24
"Vascular dementia","1972831000006110","Mixed cortical and subcortical vascular dementia, other symptoms, predominantly delusional","1972831000006106","1972831000006110","EMISICD10|F0131","",32,5
"Vascular dementia","1972871000006113","Mixed cortical and subcortical vascular dementia, other symptoms, predominantly hallucinatory","1972871000006109","1972871000006113","EMISICD10|F0132","",32,3
"Vascular dementia","1972911000006111","Mixed cortical and subcortical vascular dementia, other symptoms, predominantly depressive","1972911000006107","1972911000006111","EMISICD10|F0133","",32,1
"Vascular dementia","1972931000006117","Mixed cortical and subcortical vascular dementia, other mixed symptoms","1972931000006101","1972931000006117","EMISICD10|F0134","",32,116
"Vascular dementia","1973221000006118","Other vascular dementia, without additional symptoms","1973221000006102","1973221000006118","EMISICD10|F0180","",32,12
"Vascular dementia","1973271000006117","Other vascular dementia, other symptoms, predominantly delusional","1973271000006101","1973271000006117","EMISICD10|F0181","",32,6
"Vascular dementia","1973341000006118","Other vascular dementia, other symptoms, predominantly hallucinatory","1973341000006102","1973341000006118","EMISICD10|F0182","",32,5
"Vascular dementia","1973381000006112","Other vascular dementia, other symptoms, predominantly depressive","1973381000006108","1973381000006112","EMISICD10|F0183","",32,2
"Vascular dementia","1973401000006112","Other vascular dementia, other mixed symptoms","1973401000006108","1973401000006112","EMISICD10|F0184","",32,547
"Vascular dementia","1973461000006113","Vascular dementia, unspecified, without additional symptoms","1973461000006109","1973461000006113","EMISICD10|F0190","",32,130
"Vascular dementia","1973501000006113","Vascular dementia, unspecified, other symptoms, predominantly delusional","1973501000006109","1973501000006113","EMISICD10|F0191","",32,5
"Vascular dementia","1973531000006117","Vascular dementia, unspecified, other symptoms, predominantly hallucinatory","1973531000006101","1973531000006117","EMISICD10|F0192","",32,5
"Vascular dementia","1973551000006112","Vascular dementia, unspecified, other symptoms, predominantly depressive","1973551000006108","1973551000006112","EMISICD10|F0193","",32,10
"Vascular dementia","1976831000006111","Vascular dementia, unspecified, other mixed symptoms","1976831000006107","1976831000006111","EMISICD10|F0194","",32,915
"Vascular dementia","2664601000006115","Multi-infarct dementia with delirium","10349009","18020012","^ESCTMU266460","",32,12
"Vascular dementia","2664611000006117","Vascular dementia, with delirium","10349009","18021011","^ESCTVA266461","",32,5
"Vascular dementia","2722931000006114","Multi-infarct dementia with depression","14070001","23960010","^ESCTMU272293","",32,2
"Vascular dementia","2729791000000114","Predominantly cortical vascular dementia","1089531000000108","2729791000000114","^ESCT1171774","",32,48
"Vascular dementia","2912321000006113","Multi-infarct dementia with delusions","25772007","43182011","^ESCTMU291232","",32,2
"Vascular dementia","2912331000006111","Vascular dementia, with delusions","25772007","43183018","^ESCTVA291233","",32,1
"Vascular dementia","3414231000006117","MID - Multi-infarct dementia","56267009","497558012","^ESCTMI341423","",32,1
"Vascular dementia","3414251000006112","VAD - Vascular dementia","56267009","497560014","^ESCTVA341425","",32,10242
"Vascular dementia","3414261000006114","Multi infarct dementia","56267009","2921000019","^ESCTMU341426","",32,4
"Vascular dementia","3653671000006113","Multi-infarct dementia, uncomplicated","70936005","117833018","^ESCTMU365367","",32,1
"Vascular dementia","7515061000006117","Vascular dementia in remission","698948009","2981750014","^ESCTVA751506","",32,5
"Vascular dementia","7840631000006118","Ischaemic vascular dementia","723123001","3334662012","^ESCTIS784063","",32,89
"Vascular dementia","7840641000006111","Ischemic vascular dementia","723123001","3334661017","^ESCTIS784064","",32,1
"Vascular dementia","7861171000006114","White matter disorder with CADASIL","724779000","3445736016","^ESCTWH786117","",31,30
"Vascular dementia","8033241000006113","Multi-infarct dementia due to atherosclerosis","106021000119105","3306365017","^ESCTMU803324","",32,10
"Vascular dementia","8089231000006110","Vascular dementia with behavioural disturbance","288631000119104","3289994019","^ESCTVA808923","",32,294
"Vascular dementia","8089241000006117","Vascular dementia with behavioral disturbance","288631000119104","3290002019","^ESCTVA808924","",32,3
"Vascular dementia","9902251000006117","Vascular dementia without behavioural disturbance","16276361000119109","3447365013","^ESCTVA990225","",32,65
"Vascular dementia","13934381000006118","Cortical vascular dementia","833326008","3884948011","^ESCT1393438","",32,129
"Vascular dementia","14805251000006118","Behavioural disturbance due to multi-infarct dementia","293671000119109","5025336010","^ESCT1480525","",32,14
"Eosinophilic oesophagitis","353159016","Eosinophilic oesophagitis","235599003","353159016","J1017","J101700",32,21867
"Eosinophilic oesophagitis","3517781018","Food-induced eosinophilic oesophagitis","735455001","3517781018","^ESCT1165474","",15,1
"Eosinophilic oesophagitis","5082651000006117","Eosinophilic esophagitis","235599003","353158012","^ESCTEO508265","",32,27
"Psoriasis","55627011","Psoriatic arthropathy","33339001","55627011","M160","M160.00",32,447712
"Psoriasis","55628018","Psoriatic arthritis","33339001","55628018","M160-1","M160.11",32,124264
"Psoriasis","61797015","Guttate psoriasis","37042000","61797015","M1616","M161600",32,254948
"Psoriasis","251784017","H/O: psoriasis","161562002","251784017","14F2","14F2.00",32,115074
"Psoriasis","308725015","Psoriasis and similar disorders","9014002","15886015","M16","M16..00",32,697222
"Psoriasis","308730016","Psoriatic arthropathy NOS","33339001","55627011","M160z","M160z00",32,20001
"Psoriasis","308731017","Other psoriasis","9014002","15886015","M161","M161.00",32,11714
"Psoriasis","308732012","Psoriasis unspecified","9014002","15886015","M1610","M161000",32,376291
"Psoriasis","308733019","Psoriasis annularis","200962007","308733019","M1611","M161100",32,1135
"Psoriasis","308734013","Psoriasis circinata","200963002","308734013","M1612","M161200",32,511
"Psoriasis","308735014","Psoriasis diffusa","200964008","308735014","M1613","M161300",32,1098
"Psoriasis","308739015","Psoriasis geographica","200966005","308739015","M1615","M161500",32,191
"Psoriasis","308740018","Psoriasis gyrata","200967001","308740018","M1617","M161700",32,22
"Psoriasis","308741019","Psoriasis inveterata","200968006","308741019","M1618","M161800",32,106
"Psoriasis","308744010","Psoriasis palmaris","200970002","308744010","M161A","M161A00",32,10505
"Psoriasis","308745011","Psoriasis plantaris","200971003","308745011","M161B","M161B00",32,13538
"Psoriasis","308746012","Psoriasis punctata","200972005","308746012","M161C","M161C00",32,240
"Psoriasis","308747015","Pustular psoriasis","200973000","308747015","M161D","M161D00",32,46266
"Psoriasis","308749017","Psoriasis universalis","200974006","308749017","M161E","M161E00",32,445
"Psoriasis","308750017","Psoriasis vulgaris","200975007","308750017","M161F","M161F00",32,13733
"Psoriasis","308752013","Erythrodermic psoriasis","200977004","308752013","M161H","M161H00",32,4700
"Psoriasis","308753015","Psoriasis","9014002","15886015","M161z","M161z00",32,2817945
"Psoriasis","308776017","Psoriasis and similar disorders NOS","9014002","15886015","M16z","M16z.00",32,97548
"Psoriasis","309331014","[X]Other psoriasis","9014002","15886015","Myu30","Myu3000",32,4061
"Psoriasis","312521010","Psoriasis with arthropathy","33339001","55626019","Nyu13","Nyu1300",32,54799
"Psoriasis","357612014","Flexural psoriasis","238600001","1876481000006119","ESCTFL1","",32,6
"Psoriasis","357623013","Scalp psoriasis","238608008","357623013","M16y0","M16y000",32,248983
"Psoriasis","359310019","Juvenile arthritis in psoriasis","239803008","359310019","N0452","N045200",32,3112
"Psoriasis","359321011","Distal interphalangeal psoriatic arthropathy","239812005","359321011","M1601","M160100",32,213
"Psoriasis","483572016","Palmoplantar pustular psoriasis","27520001","483572016","M166","M166.00",32,11515
"Psoriasis","198791000006112","Plaque psoriasis","200965009","308736010","M1614","M161400",32,23983
"Psoriasis","198841000006110","Psoriasis ostracea","200969003","308742014","M1619","M161900",32,25
"Psoriasis","198881000006116","Psoriatic spondylitis","200956002","308727011","M1600","M160000",32,1684
"Psoriasis","1583831000006118","Chronic large plaque psoriasis","1583831000006102","1583831000006118","EMISNQCH31","",32,1315
"Psoriasis","1629311000006117","Chronic large plaque psoriasis","402307000","1781467015","M161F-1","M161F11",32,43120
"Psoriasis","1887571000006111","Flexural psoriasis","238600001","357612014","M161J","M161J00",32,8941
"Psoriasis","2555281000006114","Acute palmoplantar pustular psoriasis","3533007","1228270014","^ESCTAC255528","",32,145
"Psoriasis","2913591000006111","Seborrhoeic psoriasis","25847004","43312011","^ESCTSE291359","",31,17
"Psoriasis","2913601000006115","Seborrheic psoriasis","25847004","43308017","^ESCTSE291360","",31,11
"Psoriasis","2913641000006118","Sebopsoriasis","25847004","2912919010","^ESCTSE291364","",31,102
"Psoriasis","2941451000006110","Chronic palmoplantar pustular psoriasis","27520001","483571011","^ESCTCH294145","",32,6
"Psoriasis","2941481000006119","Pustular psoriasis of palms and soles","27520001","483575019","^ESCTPU294148","",32,5895
"Psoriasis","3096771000006113","Psoriasis guttata","37042000","61798013","^ESCTPS309677","",32,3
"Psoriasis","3117871000006112","Generalised pustular psoriasis of von Zumbush","38360005","490386015","^ESCTGE311787","",31,2
"Psoriasis","3821921000006111","Localised pustular psoriasis","81271001","504652017","^ESCTLO382192","",31,20
"Psoriasis","4515241000006118","Psoriatic arthritis","156370009","243961019","^ESCTPS451524","",32,61695
"Psoriasis","4515251000006116","PsA (Psoriatic arthritis)","156370009","3083653019","^ESCTPS451525","",32,3
"Psoriasis","4515261000006119","PA (Psoriatic arthritis)","156370009","3083707018","^ESCTPA451526","",32,31
"Psoriasis","4541291000006118","History of psoriasis","161562002","2986948013","^ESCTHI454129","",32,6
"Psoriasis","4805751000006114","Psoriasis and similar disorders","200955003","308725015","^ESCTPS480575","",31,12
"Psoriasis","4805761000006111","Psoriatic arthritis with spine involvement","200956002","308726019","^ESCTPS480576","",32,1232
"Psoriasis","4805821000006112","Nummular psoriasis","200965009","308737018","^ESCTNU480582","",32,6
"Psoriasis","4805831000006110","Discoid psoriasis","200965009","308738011","^ESCTDI480583","",32,13
"Psoriasis","4805871000006113","Rupioid psoriasis","200969003","308742014","^ESCTRU480587","",32,39
"Psoriasis","4805951000006112","Psoriasis vulgaris & (Chronic large plaque psoriasis)","200975007","556541000000118","^ESCTPS480595","",32,8
"Psoriasis","4805991000006118","Exfoliative dermatitis due to psoriasis","200977004","1784830015","^ESCTEX480599","",32,13
"Psoriasis","5123861000006113","Inverse psoriasis","238600001","2912676014","^ESCTIN512386","",32,8
"Psoriasis","5123871000006118","Unstable psoriasis","238601002","357613016","^ESCTUN512387","",31,53
"Psoriasis","5123881000006115","Psoriasis-eczema overlap condition","238602009","357615011","^ESCTPS512388","",31,67
"Psoriasis","5123891000006117","Eczematised psoriasis","238603004","357616012","^ESCTEC512389","",31,76
"Psoriasis","5123901000006118","Eczematized psoriasis","238603004","357617015","^ESCTEC512390","",31,2
"Psoriasis","5123911000006115","Psoriasis of nail","238604005","357618013","^ESCTPS512391","",32,526
"Psoriasis","5123921000006111","Psoriatic nail dystrophy","238605006","357620011","^ESCTPS512392","",31,60
"Psoriasis","5123931000006114","Psoriatic nail involvement","238605006","357619017","^ESCTPS512393","",31,7
"Psoriasis","5123941000006116","Psoriatic nail pitting","238606007","357621010","^ESCTPS512394","",31,27
"Psoriasis","5123951000006119","Psoriatic onycholysis","238607003","357622015","^ESCTPS512395","",31,19
"Psoriasis","5123971000006112","Köbner psoriasis","238609000","2818698013","^ESCTKÖ512397","",31,34
"Psoriasis","5123981000006110","Kobner psoriasis","238609000","2818697015","^ESCTKO512398","",31,1
"Psoriasis","5124001000006116","Generalised pustular psoriasis","238612002","357627014","^ESCTGE512400","",31,6
"Psoriasis","5124021000006114","Generalised pustular psoriasis of pregnancy","238613007","357630019","^ESCTGE512402","",32,5
"Psoriasis","5124041000006119","Pustular psoriasis in children","238614001","357631015","^ESCTPU512404","",31,2
"Psoriasis","5124051000006117","Juvenile pustular psoriasis","238615000","357632010","^ESCTJU512405","",31,3
"Psoriasis","5124061000006115","Infantile pustular psoriasis","238616004","357633017","^ESCTIN512406","",31,2
"Psoriasis","5139451000006113","Juvenile psoriatic arthritis","239802003","359308016","^ESCTJU513945","",31,50
"Psoriasis","5139461000006110","Juvenile psoriatic arthritis with psoriasis","239803008","359309012","^ESCTJU513946","",32,365
"Psoriasis","5139481000006117","Juvenile psoriatic arthritis without psoriasis","239804002","359311015","^ESCTJU513948","",31,2
"Psoriasis","5139581000006118","Psoriatic arthritis with distal interphalangeal joint involvement","239812005","359320012","^ESCTPS513958","",32,77
"Psoriasis","5139601000006111","Psoriatic dactylitis","239813000","359323014","^ESCTPS513960","",31,17
"Psoriasis","6663551000006115","Chronic small plaque psoriasis","402308005","1781468013","^ESCTCH666355","",31,278
"Psoriasis","6663561000006118","Chronic guttate pattern psoriasis","402309002","1781469017","^ESCTCH666356","",31,1
"Psoriasis","6663571000006113","Chronic stable plaque psoriasis","402310007","1781470016","^ESCTCH666357","",31,79
"Psoriasis","6663581000006111","Actively extending plaque psoriasis","402311006","1781471017","^ESCTAC666358","",31,2
"Psoriasis","6663591000006114","Acute guttate psoriasis","402312004","1781472012","^ESCTAC666359","",31,6
"Psoriasis","6663601000006118","Guttate flare of psoriasis with preexisting plaques","402313009","1781473019","^ESCTGU666360","",31,3
"Psoriasis","6663611000006115","Psoriasis of vulva","402314003","1781474013","^ESCTPS666361","",31,1
"Psoriasis","6663621000006111","Vulval psoriasis","402314003","1787556010","^ESCTVU666362","",31,18
"Psoriasis","6663641000006116","Penile psoriasis","402315002","1787557018","^ESCTPE666364","",31,2
"Psoriasis","6663651000006119","Psoriasis of perianal skin","402316001","1781476010","^ESCTPS666365","",31,4
"Psoriasis","6663661000006117","Perianal psoriasis","402316001","1787558011","^ESCTPE666366","",31,7
"Psoriasis","6663671000006112","Generalised psoriasis","402317005","1773603013","^ESCTGE666367","",31,6
"Psoriasis","6663711000006111","Psoriasis of face","402320002","1781479015","^ESCTPS666371","",31,2
"Psoriasis","6663721000006115","Facial psoriasis","402320002","1787559015","^ESCTFA666372","",31,9
"Psoriasis","6663741000006110","Hypertrophic palmar psoriasis","402322005","1781481018","^ESCTHY666374","",31,3
"Psoriasis","6663751000006112","Hypertrophic palmoplantar psoriasis","402323000","1781482013","^ESCTHY666375","",31,6
"Psoriasis","6663801000006117","Acute generalised pustular flare of preexisting plaque psoriasis","402327004","1773605018","^ESCTAC666380","",31,1
"Psoriasis","6663821000006110","Childhood pustular psoriasis","402328009","1781485010","^ESCTCH666382","",31,1
"Psoriasis","6797961000006113","Iritis in psoriatic arthritis","410482007","2472143017","^ESCTIR679796","",31,1
"Psoriasis","7819261000006114","Anogenital psoriasis","721538000","3325411018","^ESCTAN781926","",31,1
"Psoriasis","9310141000006117","Psoriatic arthritis mutilans","10629311000119107","3043836013","^ESCTPS931014","",31,1
"Psoriasis","13637071000006110","Pustular psoriasis of sole of foot","784327005","3764874011","^ESCT1363707","",31,1
"Psoriasis","14197561000006117","Psoriasis with eczema","238602009","4230253015","^ESCT1419756","",31,117
"Psoriasis","14197571000006112","Eczematous psoriasis","238602009","4212204016","^ESCT1419757","",31,30
"Psoriasis","14197581000006110","Psoriasis of scalp","238608008","4169972011","^ESCT1419758","",32,6581
"Psoriasis","14531631000006118","Oligoarticular psoriatic arthritis","1162306005","4588951018","^ESCT1453163","",31,1
"Hidradenitis suppurativa","98642019","Hidradenitis suppurativa","59393003","98642019","M25y1-1","M25y111",32,295899
"Hidradenitis suppurativa","115847018","Hidradenitis","69741000","115847018","M25y1","M25y100",32,62664
"Hidradenitis suppurativa","855271000006114","Hydradenitis suppurativa","855271000006105","855271000006114","EGTON66","",32,90906
"Hidradenitis suppurativa","3464511000006112","Hidradenitis axillaris","59393003","98643012","^ESCTHI346451","",32,9
"Hidradenitis suppurativa","3464541000006111","Suppurative hidradenitis","59393003","1231953010","^ESCTSU346454","",32,59
"Hidradenitis suppurativa","6670471000006113","Axillary hidradenitis suppurativa","402826001","1781918014","^ESCTAX667047","",31,28
"Hidradenitis suppurativa","6670481000006111","Anogenital hidradenitis suppurativa","402827005","1781919018","^ESCTAN667048","",31,2
"Hidradenitis suppurativa","6670491000006114","Vulval hidradenitis suppurativa","402828000","1781920012","^ESCTVU667049","",31,3
"Hidradenitis suppurativa","15017081000006116","Hidradenitis suppurativa of multiple sites","1254915007","5143849018","^ESCT1501708","",31,1
"Myocardial infarction","4031011","Old myocardial infarction","1755008","4031011","G32","G32..00",32,77398
"Myocardial infarction","4032016","Healed myocardial infarction","1755008","4032016","G32-1","G32..11",32,1059
"Myocardial infarction","37443015","Heart attack","22298006","37443015","G30-4","G30..14",32,13390
"Myocardial infarction","94884017","Acute myocardial infarction","57054005","94884017","G30","G30..00",32,2008762
"Myocardial infarction","109915012","Post-myocardial infarction syndrome","66189004","500341014","G310","G310.00",32,426
"Myocardial infarction","109916013","Dressler's syndrome","66189004","109916013","G310-1","G310.11",32,93
"Myocardial infarction","208365015","Postoperative myocardial infarction","129574000","208365015","G38","G38..00",32,1018
"Myocardial infarction","299707016","Acute anterior myocardial infarction","54329005","1231324017","G301","G301.00",32,9430
"Myocardial infarction","299709018","Anterior myocardial infarction NOS","54329005","1231324017","G301z","G301z00",32,31380
"Myocardial infarction","299710011","Acute posterior myocardial infarction","233838001","350371016","G304","G304.00",32,6135
"Myocardial infarction","299711010","Acute lateral myocardial infarction","58612006","1231860015","G305","G305.00",32,3586
"Myocardial infarction","299712015","True posterior myocardial infarction","194802003","299712015","G306","G306.00",32,589
"Myocardial infarction","299714019","Acute myocardial infarction of inferior wall","73795002","122557015","G308","G308.00",32,122211
"Myocardial infarction","299718016","Other acute myocardial infarction","57054005","94884017","G30y","G30y.00",32,2315
"Myocardial infarction","299720018","Other acute myocardial infarction NOS","57054005","94884017","G30yz","G30yz00",32,692
"Myocardial infarction","299721019","Acute myocardial infarction NOS","57054005","94884017","G30z","G30z.00",32,74221
"Myocardial infarction","299808017","Subsequent myocardial infarction","194856005","299808017","G35","G35..00",32,942
"Myocardial infarction","299811016","Subsequent myocardial infarction of anterior wall","194857001","299811016","G350","G350.00",32,164
