medcodeid,term,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,observations,emiscodecategoryid
3641641000006116,Acute myocardial infarction of anterolateral wall,70211005,116613011,^ESCTAC364164,,285,32
7572331000006110,Acute STEMI (ST elevation myocardial infarction) of inferior wall,703213009,3007397011,^ESCTAC757233,,283,32
455422014,Postoperative subendocardial myocardial infarction,311796008,455422014,G384,G384.00,282,32
7571601000006115,Acute STEMI (ST elevation myocardial infarction) of anterior wall,703164000,3007542019,^ESCTAC757160,,275,32
2729671000000118,Acute transmural myocardial infarction,1089471000000109,2729671000000118,^ESCT1171768,,235,32
3565871000006113,Acute myocardial infarction of inferolateral wall,65547006,108912018,^ESCTAC356587,,193,32
14741971000006110,Acute inferior non-ST segment elevation myocardial infarction,1204152002,4952475012,^ESCT1474197,,188,32
14015031000006119,Myocardial infarction due to demand ischaemia,16837681000119104,3779054018,^ESCT1401503,,185,32
12122341000006114,Acute ST segment elevation myocardial infarction of inferoposterior wall,12238151000119107,3646297011,^ESCT1212234,,171,32
299811016,Subsequent myocardial infarction of anterior wall,194857001,299811016,G350,G350.00,164,32
12122331000006116,Acute ST segment elevation myocardial infarction of inferolateral wall,12238111000119106,3646299014,^ESCT1212233,,151,32
362461000006119,[X]Acute transmural myocardial infarction of unspecif site,57054005,94884017,Gyu34,Gyu3400,138,32
3452181000006112,Acute myocardial infarction of lateral wall,58612006,97399018,^ESCTAC345218,,132,32
9843961000006118,Acute ST segment elevation myocardial infarction of anterolateral wall,15712881000119105,3041141013,^ESCTAC984396,,127,32
8087751000006116,Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery,285981000119103,2922211015,^ESCTAC808775,,106,32
455423016,"Postoperative myocardial infarction, unspecified",129574000,208365015,G38z,G38z.00,104,32
3745741000006117,Acute myocardial infarction of inferoposterior wall,76593002,127193015,^ESCTAC374574,,103,32
2855351000006111,Myocardial infarct,22298006,1784873012,^ESCTMY285535,,88,32
2619484018,MI - Myocardial infarction aborted,194821006,2619484018,G3110-1,G311011,83,32
7574481000006111,Subsequent non-ST segment elevation myocardial infarction,703360004,3008465013,^ESCTSU757448,,78,32
6546751000006118,First myocardial infarction,394710008,1488431012,^ESCTFI654675,,76,32
9844011000006119,Acute ST segment elevation myocardial infarction of posterior wall,15713041000119103,3041268019,^ESCTAC984401,,74,32
13941141000006111,Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion,840312002,3901259010,^ESCT1394114,,68,32
118831000006118,Subsequent myocardial infarction of unspecified site,194856005,299808017,G35X,G35X.00,65,32
14742011000006111,Acute anterior non-ST segment elevation myocardial infarction,1204155000,4952482011,^ESCT1474201,,64,32
543291000006110,Myocardial infarction with complication,371068009,1209776017,G36,G36..00,61,32
7093091000006111,Recent myocardial infarction,428752002,2691951018,^ESCTRE709309,,51,32
6043771000006118,Non-Q wave myocardial infarction,314207007,458526013,^ESCTNO604377,,42,32
7572341000006117,Acute inferior ST segment elevation myocardial infarction,703213009,3007793013,^ESCTAC757234,,40,32
8011041000006111,Acute myocardial infarction due to right coronary artery occlusion,23311000119105,2968252015,^ESCTAC801104,,40,32
3459561000006119,Acute myocardial infarction of apical-lateral wall,59063002,98155017,^ESCTAC345956,,36,32
7574491000006114,Subsequent NSTEMI (non-ST segment elevation myocardial infarction),703360004,3008532019,^ESCTSU757449,,33,32
9843991000006114,Acute ST segment elevation myocardial infarction of anteroseptal wall,15712961000119108,3041144017,^ESCTAC984399,,33,32
3699921000006110,Acute inferior myocardial infarction,73795002,1233665015,^ESCTAC369992,,32,32
212071000006114,Postoperative transmural myocardial infarction of inferior wall,311793000,455419012,G381,G381.00,31,32
5935321000006111,Acute Q wave myocardial infarction,304914007,447323012,^ESCTAC593532,,31,32
9843981000006111,Acute ST segment elevation myocardial infarction of lateral wall,15712921000119103,3041019010,^ESCTAC984398,,31,32
3024781000006112,"Past myocardial infarction diagnosed on ECG AND/OR other special investigation, but currently presenting no symptoms",32574007,54388015,^ESCTPA302478,,30,32
3784911000006111,Acute myocardial infarction of septum,79009004,131106018,^ESCTAC378491,,29,32
9844051000006118,Acute ST segment elevation myocardial infarction due to right coronary artery occlusion,15713121000119105,3082407014,^ESCTAC984405,,29,32
299813018,Subsequent myocardial infarction of other sites,194856005,299808017,G353,G353.00,26,32
212061000006119,Postoperative transmural myocardial infarction of anterior wall,311792005,455418016,G380,G380.00,24,32
14132951000006116,MINOCA - myocardial infarction with non-obstructive coronary artery,879955009,3994017019,^ESCT1413295,,24,32
13935211000006117,Acute myocardial infarction of inferolateral wall with posterior extension,836295007,3890829015,^ESCT1393521,,22,32
13941091000006115,Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion,840309000,3901248018,^ESCT1394109,,22,32
13941211000006118,Acute ST segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion,840316004,3901277017,^ESCT1394121,,21,32
15276151000006113,Acute ST segment elevation myocardial infarction due to mid left circumflex coronary artery occlusion,44821000087100,5233398019,^ESCT1527615,,21,32
300882013,[X]Subsequent myocardial infarction of unspecified site,194856005,299808017,Gyu36,Gyu3600,19,32
9843951000006115,Acute ST segment elevation myocardial infarction of posterolateral wall,15712841000119100,3041039014,^ESCTAC984395,,18,32
3551171000006114,Acute myocardial infarction of high lateral wall,64627002,107408016,^ESCTAC355117,,16,32
7572881000006117,Acute ST segment elevation myocardial infarction of inferior wall involving right ventricle,703253007,3008179012,^ESCTAC757288,,16,32
15276211000006118,Acute ST segment elevation myocardial infarction due to posterolateral branch of left circumflex coronary artery occlusion,44841000087109,5233374014,^ESCT1527621,,16,32
7571611000006117,Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle,703165004,3007986019,^ESCTAC757161,,14,32
7572221000006117,Subsequent ST segment elevation myocardial infarction of inferior wall,703209002,3007816013,^ESCTSU757222,,14,32
13945981000006117,Acute ST segment elevation myocardial infarction due to occlusion of septal branch of anterior descending branch of left coronary artery,840680009,3914888011,^ESCT1394598,,14,32
212091000006110,Postoperative transmural myocardial infarction unspec site,129574000,208365015,G383,G383.00,13,32
4775931000006111,Aborted myocardial infarction,194821006,2619483012,^ESCTAB477593,,13,32
4775891000006119,Acute myocardial infarction of atrium,194809007,2470032018,^ESCTAC477589,,12,32
13945211000006116,Acute ST segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery,840609007,3902908015,^ESCT1394521,,12,32
2855341000006114,MI - Myocardial infarction,22298006,1784872019,^ESCTMI285534,,11,32
6914971000006118,Myocardial infarction in recovery phase,418044006,2576878011,^ESCTMY691497,,11,32
7572281000006118,Subsequent ST segment elevation myocardial infarction,703211006,3007759014,^ESCTSU757228,,11,32
13961461000006113,Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery,868226001,3963987012,^ESCT1396146,,11,32
7572251000006114,Subsequent ST segment elevation myocardial infarction of anterior wall,703210007,3007438015,^ESCTSU757225,,10,32
8004261000006118,Acute myocardial infarction due to left coronary artery occlusion,17531000119105,2968255018,^ESCTAC800426,,9,32
13961451000006111,Acute STEMI (ST elevation myocardial infarction) due to PDA (posterior descending artery) branch of RCA (right coronary artery) occlusion,868225002,3963985016,^ESCT1396145,,9,32
13935161000006114,Acute myocardial infarction of right ventricle,836293000,3890822012,^ESCT1393516,,8,32
13961431000006116,Acute STEMI (ST elevation myocardial infarction) due to AM (acute marginal) branch of RCA (right coronary artery) occlusion,868224003,3963980014,^ESCT1396143,,8,32
14145371000006117,Acute myocardial infarction due to occlusion of circumflex branch of left coronary artery,896689003,4028647019,^ESCT1414537,,8,32
14145391000006116,Acute ST segment elevation myocardial infarction due to occlusion of circumflex branch of left coronary artery,896691006,4028649016,^ESCT1414539,,8,32
3343471000006116,Acute anteroapical myocardial infarction,52035003,86618010,^ESCTAC334347,,7,32
13961341000006118,Acute ST segment elevation myocardial infarction due to occlusion of distal portion of right coronary artery,868217004,3963965015,^ESCT1396134,,7,32
14194701000006115,Myocardial infarction due to atherothrombotic coronary artery disease,726499301000119105,4030229011,^ESCT1419470,,7,32
300881018,[X]Subsequent myocardial infarction of other sites,194856005,299808017,Gyu35,Gyu3500,6,32
212081000006112,Postoperative transmural myocardial infarction other sites,129574000,208365015,G382,G382.00,6,32
13941161000006110,Acute STEMI (ST elevation myocardial infarction) due to mid LAD (left anterior descending) coronary artery occlusion,840312002,3902913016,^ESCT1394116,,6,32
13961441000006114,Acute ST segment elevation myocardial infarction due to occlusion of posterior descending branch of right coronary artery,868225002,3963983011,^ESCT1396144,,6,32
14194711000006117,Type 1 myocardial infarction,726499301000119105,4030227013,^ESCT1419471,,6,32
14752511000006117,Subsequent inferior non-ST segment elevation myocardial infarction,1208873007,5013242011,^ESCT1475251,,6,32
15276241000006119,Acute ST segment elevation myocardial infarction due to proximal left circumflex coronary artery occlusion,44851000087107,5233395016,^ESCT1527624,,6,32
7572301000006119,Acute myocardial infarction during procedure,703212004,3007658013,^ESCTAC757230,,5,32
7572861000006110,Acute myocardial infarction of anterior wall involving right ventricle,703252002,3008134013,^ESCTAC757286,,5,32
14546721000006115,Postoperative acute myocardial infarction,1163440003,4596874013,^ESCT1454672,,5,32
9844071000006111,Acute ST segment elevation myocardial infarction of septum,15713161000119100,3082468018,^ESCTAC984407,,4,32
13935201000006115,Acute apical myocardial infarction of heart,836294006,3890984012,^ESCT1393520,,4,32
13961381000006112,Acute STEMI (ST elevation myocardial infarction) due to mid RCA (right coronary artery) occlusion,868220007,3963971014,^ESCT1396138,,4,32
14145451000006115,Acute STEMI (ST segment elevation myocardial infarction) of apex of heart,896696001,4028675017,^ESCT1414545,,4,32
14145461000006118,Acute ST segment elevation myocardial infarction of right ventricle,896697005,4028677013,^ESCT1414546,,4,32
15276121000006116,Acute ST segment elevation myocardial infarction due to distal left circumflex coronary artery occlusion,44811000087108,5233402011,^ESCT1527612,,4,32
2503001000006118,Acute myocardial infarction of basal-lateral wall,282006,1559015,^ESCTAC250300,,3,32
2729631000000115,Acute nontransmural myocardial infarction,1089451000000100,2729631000000115,^ESCT1171766,,3,32
3427201000006111,AMI - Acute myocardial infarction,57054005,1231678011,^ESCTAM342720,,3,32
3895291000006112,Transmural infarct,85844000,142306013,^ESCTTR389529,,3,31
5056461000006113,MI - Silent myocardial infarction,233843008,350377017,^ESCTMI505646,,3,32
7571591000006111,Acute ST segment elevation myocardial infarction of anterior wall,703164000,3007419012,^ESCTAC757159,,3,32
7572291000006115,Subsequent STEMI (ST elevation myocardial infarction),703211006,3007794019,^ESCTSU757229,,3,32
9844021000006110,Acute ST segment elevation myocardial infarction due to left coronary artery occlusion,15713081000119108,3082859010,^ESCTAC984402,,3,32
13935191000006118,Acute myocardial infarction of apex of heart,836294006,3890982011,^ESCT1393519,,3,32
15276161000006110,Acute STEMI (ST elevation myocardial infarction) due to mid LCX (left circumflex coronary artery) occlusion,44821000087100,5233399010,^ESCT1527616,,3,32
6601131000006115,CT - Coronary thrombosis,398274000,1786196012,^ESCTCT660113,,2,32
13941111000006112,Acute STEMI (ST elevation myocardial infarction) due to proximal LAD (left anterior descending) coronary artery occlusion,840309000,3902914010,^ESCT1394111,,2,32
13945231000006110,Acute STEMI (ST segment elevation myocardial infarction) due to LAD (left anterior descending) coronary artery occlusion,840609007,3902911019,^ESCT1394523,,2,32
13961301000006115,Acute ST segment elevation myocardial infarction due to occlusion of proximal portion of right coronary artery,868214006,3963958011,^ESCT1396130,,2,32
13961351000006116,Acute STEMI (ST elevation myocardial infarction) due to distal RCA (right coronary artery) occlusion,868217004,3963966019,^ESCT1396135,,2,32
13961421000006119,Acute ST segment elevation myocardial infarction due to occlusion of marginal branch of right coronary artery,868224003,3963981013,^ESCT1396142,,2,32
15276181000006117,Acute ST segment elevation myocardial infarction due to obtuse marginal branch of left circumflex coronary artery occlusion,44831000087103,5233370017,^ESCT1527618,,2,32
2729611000000111,Postoperative transmural myocardial infarction,1089441000000103,2729611000000111,^ESCT1171765,,1,32
7571621000006113,Acute anterior ST segment elevation myocardial infarction with right ventricular involvement,703165004,3007620014,^ESCTAC757162,,1,32
7572261000006111,Subsequent STEMI (ST elevation myocardial infarction) of anterior wall,703210007,3007404011,^ESCTSU757226,,1,32
7572901000006115,Acute STEMI (ST elevation myocardial infarction) of inferior wall with right ventricular involvement,703253007,3008213014,^ESCTAC757290,,1,32
13941231000006112,Acute STEMI (ST elevation myocardial infarction) due to distal LAD (left anterior descending) coronary artery occlusion,840316004,3902912014,^ESCT1394123,,1,32
13947591000006117,Acute ST segment elevation myocardial infarction due to occlusion of diagonal branch of anterior descending branch of left coronary artery,846668006,3914916018,^ESCT1394759,,1,32
13947721000006111,Acute ST segment elevation myocardial infarction due to occlusion of intermediate artery,846683001,3914972012,^ESCT1394772,,1,32
13961311000006117,Acute STEMI (ST elevation myocardial infarction) due to proximal RCA (right coronary artery) occlusion,868214006,3963959015,^ESCT1396131,,1,32
13961371000006114,Acute ST segment elevation myocardial infarction due to occlusion of mid portion of right coronary artery,868220007,3963973012,^ESCT1396137,,1,32
13961471000006118,Acute STEMI (ST elevation myocardial infarction) due to PL (posterolateral) branch of RCA (right coronary artery) occlusion,868226001,3963988019,^ESCT1396147,,1,32
14145431000006110,Acute ST segment elevation myocardial infarction of apex of heart,896696001,4028673012,^ESCT1414543,,1,32
14742991000006119,Acute non-ST segment elevation myocardial infarction of right ventricle,1204222000,4953526017,^ESCT1474299,,1,32
15276201000006116,Acute STEMI (ST elevation myocardial infarction) due to OM (obtuse marginal) branch of LCX (left circumflex coronary artery) occlusion,44831000087103,5233372013,^ESCT1527620,,1,32
15276221000006114,Acute STEMI (ST elevation myocardial infarction) due to PL (posterolateral) branch of LCX (left circumflex coronary artery) occlusion,44841000087109,5233375010,^ESCT1527622,,1,32
