medcodeid,term,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,observations,emiscodecategoryid
6289461000006116,Venous eczema,366362000,489883012,^ESCTVE628946,,2684,32
889251000006111,Chronic Eczema,684861000000105,889251000006111,M12z1-99,M12z199,2019,32
4062591000006119,Eczema of external auditory canal,95812002,158687011,^ESCTEC406259,,1648,32
14076941000006111,Facial eczema,300924008,3781479016,^ESCT1407694,,1303,31
5986641000006111,Eczema of leg,309258000,452626014,^ESCTEC598664,,1231,31
889181000006111,Neurodermatitis,238585003,889181000006111,M116-99,M116.99,1016,32
5886801000006117,Eczema of face,300924008,442123013,^ESCTEC588680,,873,31
5123791000006111,Desiccation eczema,238594009,357605017,^ESCTDE512379,,745,32
308489010,Besnier's prurigo,200773006,308489010,M115,M115.00,655,32
5122851000006117,Atopic dermatitis of hands,238541000,357508013,^ESCTAT512285,,489,31
2632961000000119,Patient-Oriented Eczema Measure score,719130004,3315108010,38Vp,,460,32
14502461000006112,Atopic dermatitis of bilateral hands,238541000,4573437015,^ESCT1450246,,434,31
357584012,Brocq's neurodermatitis,238585003,357584012,M116-1,M116.11,429,32
6662341000006116,Foot eczema,402234004,1781401016,^ESCTFO666234,,397,31
6661411000006118,Childhood atopic dermatitis,402196005,1781372013,^ESCTCH666141,,315,32
5122831000006112,Constitutional eczema,238540004,357505011,^ESCTCO512283,,289,31
5123241000006110,Psoriasiform eczema,238564003,357545019,^ESCTPS512324,,232,31
5989171000006115,Chronic lichenified atopic dermatitis,309461001,452894019,^ESCTCH598917,,195,31
5123831000006116,Site-specific eczema,238598007,357610018,^ESCTSI512383,,193,31
5122931000006119,Follicular atopic dermatitis,238545009,357513012,^ESCTFO512293,,130,31
14197561000006117,Psoriasis with eczema,238602009,4230253015,^ESCT1419756,,117,31
3201111000006116,Facial eczema,43523005,72583011,^ESCTFA320111,,101,31
5122881000006113,Discoid atopic dermatitis,238543002,357510010,^ESCTDI512288,,97,32
6662381000006110,Vulval eczema,402236002,1781403018,^ESCTVU666238,,92,31
6568231000006114,Acute eczema,396348002,1776300012,^ESCTAC656823,,86,31
3212961000006113,Chronic eczema,44256003,73816013,^ESCTCH321296,,85,31
5886821000006110,Eczema of wrist,300926005,442125018,^ESCTEC588682,,76,31
5123131000006111,Hyperkeratotic eczema of palms,238556009,357533011,^ESCTHY512313,,59,31
5123221000006115,Hyperkeratotic eczema of soles,238562004,357542016,^ESCTHY512322,,52,31
3084431000006111,Eyelid eczema,36259009,486411010,^ESCTEY308443,,49,31
4806791000006114,Eczema craquele,201077008,1784840017,^ESCTEC480679,,48,32
2884341000006119,AD - Atopic dermatitis,24079001,1223210015,^ESCTAD288434,,46,32
100341000006117,Thrombocytopenic eczema with immunodeficiency,36070007,60191017,C3912-1,C391211,46,32
5123061000006118,Hyperkeratotic eczema of palms and soles,238551004,357526011,^ESCTHY512306,,46,31
5122971000006116,Photosensitive atopic dermatitis,238547001,357517013,^ESCTPH512297,,42,31
6634251000006113,Infective eczema,400079002,2536664015,^ESCTIN663425,,40,32
7997831000006117,Eczema of scalp,13201000132100,3334352012,^ESCTEC799783,,35,31
5122841000006119,Endogenous eczema,238540004,357506012,^ESCTEN512284,,34,31
5122911000006113,Erythrodermic atopic dermatitis,238544008,357511014,^ESCTER512291,,34,31
1577061000006119,Eczema/Dermatitis,1577061000006103,1577061000006119,TRISDE8,,28,32
4354891000006116,Excoriated eczema,123703002,192192010,^ESCTEX435489,,27,31
5123051000006115,Hyperkeratotic eczema of hands and feet,238551004,357525010,^ESCTHY512305,,27,31
5123021000006112,Constitutional eczema of hands and feet,238549003,357522013,^ESCTCO512302,,26,31
6661421000006114,Childhood atopic eczema,402196005,1787504019,^ESCTCH666142,,25,32
6662321000006111,Chronic hand eczema,402233005,1781400015,^ESCTCH666232,,22,31
5123731000006112,Papular eczema,238593003,357597014,^ESCTPA512373,,21,31
4354831000006115,Exudative eczema,123699000,192188015,^ESCTEX435483,,20,32
5122031000006118,Friction eczema,238472003,357418018,^ESCTFR512203,,20,31
1008901000006113,Eczema/Dermatitis,1008901000006109,1008901000006113,ASDFGEC1,,18,32
5123661000006112,Disseminated secondary eczema,238591001,357591010,^ESCTDI512366,,17,31
13792231000006117,Constitutional eczema of hand,238553001,3761604012,^ESCT1379223,,17,31
5123001000006119,Photoaggravated atopic dermatitis,238548006,357521018,^ESCTPH512300,,16,31
6661201000006117,Generalised atopic dermatitis,402186001,1773586010,^ESCTGE666120,,16,31
4541271000006119,History of eczema,161561009,2986315016,^ESCTHI454127,,16,32
13792241000006110,Hyperkeratotic fissured eczema of palms,238555008,3737671018,^ESCT1379224,,16,31
5122941000006112,Follicular atopic eczema,238545009,357514018,^ESCTFO512294,,15,31
6661301000006113,Atopic dermatitis of scalp,402191000,1781367016,^ESCTAT666130,,15,31
3084421000006113,Eczema of eyelid,36259009,60516019,^ESCTEC308442,,15,31
6663461000006119,Generalised eczema,402303001,1773601010,^ESCTGE666346,,15,31
6661431000006112,Adult atopic dermatitis,402197001,1781373015,^ESCTAD666143,,14,31
6661441000006119,Adult atopic eczema,402197001,1787505018,^ESCTAD666144,,14,31
5122951000006114,Pruriginous atopic dermatitis,238546005,357516016,^ESCTPR512295,,13,31
950591000006112,Dermatitis/eczema,950591000006108,950591000006112,TRISDE9,,13,32
4935751000006110,Occupational eczema,225055005,338236010,^ESCTOC493575,,13,31
6661521000006113,Infected atopic dermatitis,402201001,1787509012,^ESCTIN666152,,11,31
5123721000006114,Papular eczema with elimination of papillary oedema,238593003,357600010,^ESCTPA512372,,11,31
6667181000006110,Hand and/or foot eczema,402566008,1781684015,^ESCTHA666718,,11,31
6661321000006115,Atopic dermatitis of face,402192007,1781368014,^ESCTAT666132,,9,31
5123121000006113,Hyperkeratotic fissured hand eczema,238555008,357532018,^ESCTHY512312,,9,31
13940841000006110,Eczema coxsackium,840284009,3900999010,^ESCT1394084,,9,31
2884311000006118,Allergic eczema,24079001,40427011,^ESCTAL288431,,8,32
6661401000006116,Infantile atopic eczema,402195009,1787503013,^ESCTIN666140,,8,31
4354811000006114,Vesicular eczema,123698008,192187013,^ESCTVE435481,,8,31
12466811000006110,[X]Dermatitis and eczema,479281000000106,965321000000110,^ESCT1246681,,8,31
2675101000006116,Acute infantile eczema,11011007,19101017,^ESCTAC267510,,7,31
5989181000006117,Chronic lichenified atopic eczema,309461001,452895018,^ESCTCH598918,,7,31
3636541014,Eczema of lower leg,762389001,3636541014,^ESCT1169098,,7,31
5123171000006114,Constitutional fingertip eczema,238558005,357537012,^ESCTCO512317,,7,31
5647451000006115,Unclassifiable eczema,281104002,419026012,^ESCTUN564745,,7,31
6662371000006112,Lip eczema,402235003,1787534012,^ESCTLI666237,,7,31
3374041000006116,Circumscribed neurodermatitis,53891004,496800014,^ESCTCI337404,,6,32
5123011000006116,Photoaggravated atopic eczema,238548006,357520017,^ESCTPH512301,,6,31
6661221000006110,Generalised atopic eczema,402186001,1783754010,^ESCTGE666122,,6,31
6661341000006110,Atopic dermatitis of eyelid,402193002,1781369018,^ESCTAT666134,,6,31
6661511000006117,Impetiginized atopic dermatitis,402201001,1781377019,^ESCTIM666151,,6,31
4062561000006110,Eczema of ear lobe,95809000,158684016,^ESCTEC406256,,6,31
4354871000006117,Crusted eczema,123701000,192190019,^ESCTCR435487,,6,31
5123071000006113,Psoriasiform palmoplantar eczema,238551004,357527019,^ESCTPS512307,,6,31
5123091000006114,Constitutional eczema of hands,238553001,357529016,^ESCTCO512309,,6,31
5122901000006110,Discoid pattern atopic eczema,238543002,2475905011,^ESCTDI512290,,5,32
6662351000006119,Eczema of foot,402234004,2477046015,^ESCTEC666235,,5,31
13792251000006112,Constitutional eczema of foot,238559002,3761606014,^ESCT1379225,,5,31
6661481000006113,Adult atopic eczema recurrent in adult life,402199003,1787507014,^ESCTAD666148,,4,31
5123181000006112,Constitutional eczema of feet,238559002,357538019,^ESCTCO512318,,4,31
6667331000006111,Hyperkeratotic eczema of hands and/or feet,402571001,1781689013,^ESCTHY666733,,4,31
7072611000006114,Chronic eczema of external auditory canal,427348001,2674115017,^ESCTCH707261,,4,31
7782091000006115,Patient-Oriented Eczema Measure,719128001,3315102011,^ESCTPA778209,,4,32
5033711000006113,Neurodermatitis of external ear,232242004,347962014,^ESCTNE503371,,3,31
5122861000006115,Atopic eczema of hands,238541000,357507015,^ESCTAT512286,,3,31
5122871000006110,Inverse pattern atopic dermatitis,238542007,357509017,^ESCTIN512287,,3,31
5122961000006111,Pruriginous atopic eczema,238546005,357515017,^ESCTPR512296,,3,31
5122991000006115,Photosensitive atopic eczema,238547001,357519011,^ESCTPH512299,,3,31
6661171000006116,Flexural atopic eczema,402183009,1787493018,^ESCTFL666117,,3,32
6661241000006115,Prurigo pattern atopic dermatitis,402187005,1781363017,^ESCTPR666124,,3,31
6661271000006111,Xerosis due to atopic dermatitis,402189008,1781365012,^ESCTXE666127,,3,31
6661361000006114,Atopic dermatitis of eyelids,402193002,1787501010,^ESCTAT666136,,3,31
6661391000006118,Infantile atopic dermatitis,402195009,1781371018,^ESCTIN666139,,3,31
5122041000006111,Friction palmar eczema,238473008,357419014,^ESCTFR512204,,3,31
6662181000006113,Fingertip eczema,402224008,1781391013,^ESCTFI666218,,3,31
6661331000006117,Atopic eczema of face,402192007,1787499019,^ESCTAT666133,,2,31
3369061000006114,Phototoxic eczema,53597009,1231227010,^ESCTPH336906,,2,31
3454591000006111,Eczema intertrigo,58759008,97649014,^ESCTEC345459,,2,32
5123541000006112,Lip licking eczema,238583005,357580015,^ESCTLI512354,,2,31
6662301000006118,Acute hand eczema,402232000,1781399010,^ESCTAC666230,,2,31
6663171000006115,Lip-licking eczema,402285007,1781449010,^ESCTLI666317,,2,15
12727631000006116,Eczema NOS,684861000000105,1499831000000118,^ESCT1272763,,2,32
13682101000006114,Eczema of right upper eyelid,342521000119101,3769430016,^ESCT1368210,,2,31
4192611000006117,Photoallergic eczema,111209006,359799019,^ESCTPH419261,,1,15
5122891000006111,Discoid pattern atopic dermatitis,238543002,2475904010,^ESCTDI512289,,1,32
5122921000006117,Erythrodermic atopic eczema,238544008,357512019,^ESCTER512292,,1,31
6661311000006111,Atopic eczema of scalp,402191000,1787498010,^ESCTAT666131,,1,31
6661381000006116,Cheilitis due to atopic eczema,402194008,1787502015,^ESCTCH666138,,1,31
6661461000006115,Adult atopic eczema persistent from childhood,402198006,1787506017,^ESCTAD666146,,1,31
14507041000006116,Acute atopic dermatitis of hand,402229003,4573438013,^ESCT1450704,,1,31
15007501000006115,Childhood generalised erythematous atopic dermatitis,1251411007,5133290010,^ESCT1500750,,1,31
3527080013,Eczema of male genitalia,737172003,3527080013,^ESCT1167456,,1,31
3081251000006115,"Eczema, thrombocytopenia, immunodeficiency syndrome",36070007,1228350017,^ESCTEC308125,,1,32
4806801000006110,Eczema craquelé,201077008,1784841018,^ESCTEC480680,,1,32
5090171000006116,Peristomal eczema,236125004,353957015,^ESCTPE509017,,1,31
5123141000006118,Psoriasiform hand eczema,238556009,357534017,^ESCTPS512314,,1,31
5123231000006117,Psoriasiform plantar eczema,238562004,357543014,^ESCTPS512323,,1,31
6662161000006115,Eczema of finger,402223002,1781390014,^ESCTEC666216,,1,31
6662171000006110,Eczema of fingers,402223002,1787527010,^ESCTEC666217,,1,31
13682141000006111,Eczema of left upper eyelid,342551000119109,3769418010,^ESCT1368214,,1,31
