medcodeid,term,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,observations,emiscodecategoryid
895571000006117,Fracture of distal end of ulna,674461000000100,895571000006117,S2345-99,S234599,434,32
52291000006115,Open Smith's fracture,208340001,318880010,S2357,S235700,430,32
318890019,Open extra-articular fracture of distal radius,849671000000101,2201831000000117,S235D,S235D00,426,32
318921011,"Closed fracture scaphoid, waist, comminuted",208373008,318921011,S240D,S240D00,406,32
2620681000006114,Fracture of triquetral bone of wrist,7585008,13539010,^ESCTFR262068,,373,31
318916013,"Closed fracture of carpal bone, unspecified",9468002,511384012,S2400,S240000,353,32
318925019,Closed fracture of carpal bone NOS,9468002,511384012,S240z,S240z00,342,32
3932001000006116,Open fracture of lower end of radius AND ulna,88116004,146086018,^ESCTOP393200,,332,32
4353801000006114,Closed reverse Colles' fracture,123618009,192107010,^ESCTCL435380,,330,32
559791000006116,Closed dorsal Barton's fracture,208324004,318856011,S234A,S234A00,303,32
565381000006114,Closed fracture-dislocation radiocarpal joint,209266005,319963018,S4C01,S4C0100,296,32
3098691000006118,Closed fracture of hamate bone of wrist,37174005,62011010,^ESCTCL309869,,285,32
565781000006113,"Closed fracture-subluxation, distal radio-ulnar jt",209284007,319982010,S4C20,S4C2000,257,32
5460591000006116,Fracture dislocation of wrist joint,263079005,391196013,^ESCTFR546059,,257,31
895611000006110,#Carpal bones NOS,697111000000107,895611000006110,S24z-99,S24z.99,231,32
318882019,Open volar Barton's fracture,208342009,318882019,S2359,S235900,230,32
3896491000006116,Fracture of hamate bone of wrist,85922006,142447010,^ESCTFR389649,,215,31
1234315010,Open fracture triquetral,7913001,1234315010,S2413,S241300,206,32
1228196017,Open fracture hamate,34656006,1228196017,S2418,S241800,181,32
48573010,Open fracture of carpal bone,29014003,48573010,S241,S241.00,177,32
318880010,Smith's fracture - open,208340001,318880010,S2351-1,S235111,166,32
565371000006111,Closed fracture-dislocation peri-lunate trans-scaphoid,209271003,319968010,S4C06,S4C0600,155,32
451060018,Open Barton's fracture,307712005,451060018,S235F,S235F00,153,32
256001000006114,Open fracture-dislocation radiocarpal joint,209276008,319974010,S4C11,S4C1100,152,32
1232881017,Open fracture trapezium,67130000,1232881017,S2415,S241500,141,32
3428151000006115,Closed fracture of trapezium bone of wrist,57114005,94984016,^ESCTCL342815,,138,32
256081000006117,"Open fracture-dislocation, distal radio-ulnar joint",209274006,319971019,S4C10,S4C1000,130,32
15262321000006110,Fracture of distal end of left radius,1285724007,5250179019,^ESCT1526232,,124,31
3710331000006111,Fracture of trapezium of wrist,74465000,123673011,^ESCTFR371033,,123,31
318932011,"Open fracture scaphoid, tuberosity",208384001,318932011,S241E,S241E00,110,32
2620701000006112,Fracture of triquetral,7585008,1233922018,^ESCTFR262070,,107,31
565301000006117,Closed fracture-dislocation lunate (volar),209269003,319966014,S4C04,S4C0400,106,32
318930015,"Open fracture scaphoid, waist, oblique",208382002,318930015,S241C,S241C00,89,32
3106031000006116,Closed fracture of lunate bone of wrist,37633006,62773014,^ESCTCL310603,,86,32
318929013,"Open fracture scaphoid, waist, transverse",208381009,318929013,S241B,S241B00,84,32
318928017,"Open fracture scaphoid, proximal pole",208380005,318928017,S241A,S241A00,83,32
256341000006113,Open fracture-subluxation of the wrist,209292003,319990010,S4C3,S4C3.00,82,32
14196721000006117,Closed Smith's fracture,123618009,4168365014,^ESCT1419672,,80,32
3204741000006116,Closed fracture of pisiform bone of wrist,43767005,72987016,^ESCTCL320474,,79,32
569521000006119,Closed volar Barton's fracture-dislocation,208323005,318853015,S2349-1,S234911,77,32
4358251000006115,Reversed Colles' fracture,123972004,192461016,^ESCTRE435825,,74,31
3964861000006110,Closed fracture of capitate bone of wrist,90114000,149369015,^ESCTCL396486,,73,32
565361000006116,Closed fracture-dislocation peri-lunate (dorsal),209270002,319967017,S4C05,S4C0500,67,32
3896511000006110,Fracture of hamate,85922006,1235079013,^ESCTFR389651,,66,31
318924015,Closed fracture of other carpal bone,9468002,511384012,S240y,S240y00,64,32
15295461000006115,Fracture of distal end of right radius,18310001000004100,691751000124114,^ESCT1529546,,64,31
4848971000006115,Closed fracture dislocation perilunate (dorsal),209270002,319967017,^ESCTCL484897,,61,32
3692241000006119,Fracture of capitate bone of wrist,73316002,121750019,^ESCTFR369224,,58,31
318889011,"Open fracture distal radius, intra-articular, die-punch",208345006,318889011,S235C,S235C00,57,32
13716941000006116,Closed fracture of metaphysis of distal end of left radius,16542861000119107,3775271016,^ESCT1371694,,53,31
318931016,"Open fracture scaphoid, waist, comminuted",208383007,318931016,S241D,S241D00,52,32
3607291000006111,Open fracture of navicular bone of wrist,68076002,113078017,^ESCTOP360729,,49,32
5462011000006116,Volar Barton's fracture,263200003,391355015,^ESCTVO546201,,48,31
4848961000006110,Closed fracture dislocation lunate (volar),209269003,319966014,^ESCTCL484896,,47,32
3867051000006117,Fracture of pisiform bone of wrist,84030002,139340014,^ESCTFR386705,,44,31
1235429018,Open fracture pisiform,89161006,1235429018,S2414,S241400,43,32
4848981000006117,Closed fracture dislocation perilunate transscaphoid,209271003,319968010,^ESCTCL484898,,43,32
4849161000006119,Open fracture subluxation of the wrist,209292003,319990010,^ESCTOP484916,,43,32
1230102017,Open fracture capitate,44504005,1230102017,S2417,S241700,41,32
565681000006119,Closed fracture-subluxation other carpal,263102004,391219013,S4C2y,S4C2y00,40,32
3710351000006116,Fracture of trapezium,74465000,1233750011,^ESCTFR371035,,40,31
565351000006118,Closed fracture-dislocation other carpal,209264008,319961016,S4C0y,S4C0y00,39,32
7663151000006114,Pathological fracture of distal radius and distal ulna,710052000,3043001010,^ESCTPA766315,,38,31
569501000006112,Closed volar Barton fracture-subluxation,208323005,318852013,S2349-2,S234912,37,32
2530741000006117,Fracture of lunate bone of wrist,2012002,4471012,^ESCTFR253074,,37,31
2650961000006112,Closed fracture of carpal bone of wrist,9468002,3298057018,^ESCTCL265096,,37,32
13716951000006119,Closed fracture of metaphysis of distal end of right radius,16542901000119101,3775268012,^ESCT1371695,,35,31
15079361000006114,Closed fracture of multiple carpal bones,208375001,5145668015,^ESCT1507936,,35,32
318933018,"Open fracture carpal bones, multiple",208385000,318933018,S241F,S241F00,34,32
1231198017,Open fracture lunate,53256003,1231198017,S2412,S241200,34,32
3386781000006111,Barton's fracture,54645004,90811010,^ESCTBA338678,,34,31
318887013,Open dorsal Barton's fracture,208343004,318887013,S235A,S235A00,32,32
1229890019,Open fracture trapezoid,42591009,1229890019,S2416,S241600,32,32
2504221000006116,Closed fracture of trapezoidal bone of wrist,357009,1686010,^ESCTCL250422,,30,32
255671000006117,"Open fracture-subluxation, distal radio-ulnar joint",209293008,319991014,S4C30,S4C3000,28,32
2736481000006119,Fracture of trapezoidal bone of wrist,14916000,25332016,^ESCTFR273648,,25,31
5462021000006112,Volar Barton fracture,263200003,2839985015,^ESCTVO546202,,23,31
255991000006113,Open fracture-dislocation peri-lunate trans-scaphoid,209281004,319979017,S4C16,S4C1600,22,32
4849061000006118,Open fracture dislocation perilunate (dorsal),209280003,319978013,^ESCTOP484906,,21,32
5460601000006112,Fracture dislocation of radiocarpal joint,263080008,391197016,^ESCTFR546060,,21,32
2626111000006113,Open fracture of triquetral bone of wrist,7913001,14091013,^ESCTOP262611,,20,32
561321000006113,Closed dorsal Barton's fracture-dislocation,208324004,318855010,S234A-1,S234A11,19,32
565311000006119,Closed fracture-dislocation mid carpal,209267001,319964012,S4C02,S4C0200,19,32
565711000006118,Closed fracture-subluxation radiocarpal joint,209285008,319983017,S4C21,S4C2100,18,32
318927010,"Open fracture hamate, hook",208379007,318927010,S2419,S241900,17,32
15437341000006113,Fracture of bone of left wrist region,1303394003,5306296014,^ESCT1543734,,17,31
3867061000006115,Fracture of pisiform,84030002,1234891010,^ESCTFR386706,,16,31
565621000006118,Closed fracture-subluxation lunate (volar),209288005,319986013,S4C24,S4C2400,14,32
4848921000006116,Closed fracture dislocation radiocarpal joint,209266005,319963018,^ESCTCL484892,,14,32
318926018,"Open fracture of carpal bone, unspecified",29014003,48573010,S2410,S241000,13,32
255581000006118,Open fracture-subluxation radiocarpal joint,209294002,319992019,S4C31,S4C3100,13,32
565691000006116,Closed fracture-subluxation peri-lunate (dorsal),209289002,319987016,S4C25,S4C2500,13,32
12217201000006111,Smith fracture,123619001,3670864017,^ESCT1221720,,13,32
4358261000006118,Smith's fracture,123972004,203444012,^ESCTSM435826,,12,31
4849071000006113,Open fracture dislocation perilunate transscaphoid,209281004,319979017,^ESCTOP484907,,12,32
4849091000006114,Closed fracture subluxation of distal radioulnar joint,209284007,3028557017,^ESCTCL484909,,12,32
318935013,Open fracture of carpal bone NOS,29014003,48573010,S241z,S241z00,11,32
2530761000006118,Fracture of lunate,2012002,1222411012,^ESCTFR253076,,11,31
2773201000006116,Closed fracture of lower end of radius,17222009,29118019,^ESCTCL277320,,11,32
4849131000006111,Closed fracture subluxation lunate (volar),209288005,319986013,^ESCTCL484913,,11,32
561311000006117,Closed dorsal Barton fracture-subluxation,208324004,318854014,S234A-2,S234A12,10,32
4849051000006115,Open fracture dislocation lunate (volar),209279001,319977015,^ESCTOP484905,,10,32
565701000006116,Closed fracture-subluxation peri-lunate trans-scaphoid,209290006,319988014,S4C26,S4C2600,9,32
255981000006110,Open fracture-dislocation peri-lunate (dorsal),209280003,319978013,S4C15,S4C1500,8,32
7587861000006118,Closed fracture of distal epiphysis of radius,704212006,3010856018,^ESCTCL758786,,8,31
15437351000006110,Fracture of bone of right wrist region,1303395002,5306298010,^ESCT1543735,,8,31
318934012,Open fracture of other carpal bone,29014003,48573010,S241y,S241y00,7,32
2736501000006112,Fracture of trapezoid,14916000,1221145012,^ESCTFR273650,,7,31
4849021000006112,Open fracture dislocation radiocarpal joint,209276008,319974010,^ESCTOP484902,,7,32
49851000006119,Open volar Barton fracture-dislocation,208342009,318884018,S2359-1,S235911,6,32
256731000006116,Open fracture-dislocation lunate (volar),209279001,319977015,S4C14,S4C1400,6,32
565631000006115,Closed fracture-subluxation mid carpal,209286009,319984011,S4C22,S4C2200,6,32
4849101000006115,Closed fracture subluxation radiocarpal joint,209285008,319983017,^ESCTCL484910,,6,32
7059491000006114,Chauffeur's fracture,426467005,2674083015,^ESCTCH705949,,6,31
7309751000006118,Pathological fracture of distal radius,445537004,2871006011,^ESCTPA730975,,6,31
3692261000006115,Fracture of capitate,73316002,1233615012,^ESCTFR369226,,5,31
4353811000006112,Open reverse Colles' fracture,123619001,192108017,^ESCTOP435381,,5,32
16080541000006116,Closed fracture subluxation of wrist,209283001,5406349016,^ESCT1608054,,5,32
3527286011,Fracture of lower end of radius with dorsal tilt,737261002,3527286011,^ESCT1167569,,4,31
3527288012,Fracture of lower end of radius with volar tilt,737262009,3527288012,^ESCT1167570,,4,31
3217001000006114,Open fracture of capitate bone of wrist,44504005,74215010,^ESCTOP321700,,4,32
3386791000006114,Barton fracture,54645004,2839416017,^ESCTBA338679,,4,31
4842291000006112,Closed dorsal Barton fracture,208324004,2839862017,^ESCTCL484229,,4,32
5462031000006110,Dorsal Barton's fracture,263201004,391356019,^ESCTDO546203,,4,31
5462041000006117,Dorsal Barton fracture,263201004,2839986019,^ESCTDO546204,,4,31
4842251000006118,Closed volar Barton fracture,208323005,2839697017,^ESCTCL484225,,3,32
4849151000006116,Closed fracture subluxation perilunate transscaphoid,209290006,319988014,^ESCTCL484915,,3,32
15294151000006113,Open fracture of metaphysis of distal right radius,16543151000119106,5233511013,^ESCT1529415,,3,31
261541000006119,Open dorsal Barton's fracture-dislocation,208343004,318885017,S235A-1,S235A11,2,32
3363611000006116,Open fracture of lunate bone of wrist,53256003,88562016,^ESCTOP336361,,2,32
3591391000006119,Open fracture of trapezium of wrist,67130000,111499018,^ESCTOP359139,,2,32
3949301000006114,Open fracture of pisiform bone of wrist,89161006,147845017,^ESCTOP394930,,2,32
4848931000006118,Closed fracture dislocation midcarpal,209267001,319964012,^ESCTCL484893,,2,32
4849141000006118,Closed fracture subluxation perilunate (dorsal),209289002,319987016,^ESCTCL484914,,2,32
5460621000006119,Fracture dislocation of lunate,263082000,391199018,^ESCTFR546062,,2,31
5971981000006111,Closed Barton fracture,307713000,2841979011,^ESCTCL597198,,2,32
15437381000006119,Fracture of bone of wrist region,1303397005,5306303012,^ESCT1543738,,2,31
49861000006117,Open volar Barton fracture-subluxation,208342009,318883012,S2359-2,S235912,1,32
255571000006116,Open fracture-subluxation peri-lunate trans-scaphoid,209299007,319997013,S4C36,S4C3600,1,32
255971000006112,Open fracture-dislocation other carpal,209273000,319970018,S4C1y,S4C1y00,1,32
256351000006110,Open fracture-subluxation other carpal,263102004,391219013,S4C3y,S4C3y00,1,32
256741000006114,Open fracture-dislocation mid carpal,209277004,319975011,S4C12,S4C1200,1,32
261551000006117,Open dorsal Barton's fracture-subluxation,208343004,318886016,S235A-2,S235A12,1,32
991031000006115,#Carpal bones NOS,82065001,991031000006115,S24-98,S24..98,1,32
3058071000006115,Open fracture of hamate bone of wrist,34656006,57847019,^ESCTOP305807,,1,32
4842281000006114,Closed dorsal Barton's fracture dislocation,208324004,318855010,^ESCTCL484228,,1,32
4849171000006114,Open fracture subluxation of distal radioulnar joint,209293008,3028552011,^ESCTOP484917,,1,32
4849211000006111,Open fracture subluxation lunate (volar),209297009,319995017,^ESCTOP484921,,1,32
5460881000006116,Fracture subluxation of lunate,263108000,391226013,^ESCTFR546088,,1,31
7309761000006116,Pathological fracture of distal ulna,445538009,2871008012,^ESCTPA730976,,1,31
13703001000006112,Closed fracture of trapezoidal bone of right wrist,10936201000119107,3773246016,^ESCT1370300,,1,31
13703011000006110,Closed fracture of trapezoidal bone of left wrist,10936241000119109,3773244018,^ESCT1370301,,1,31
13703031000006116,Closed fracture of lunate bone of left wrist,10937281000119102,3774023015,^ESCT1370303,,1,31
15079371000006119,Open fracture of multiple carpal bones,208385000,5145665017,^ESCT1507937,,1,32
15262311000006119,Fracture of distal end of left ulna,1285722006,5250171016,^ESCT1526231,,1,31
15290691000006115,Fracture of distal end of right ulna,14430001000004102,688721000124113,^ESCT1529069,,1,31
15294161000006110,Open fracture of metaphysis of distal left radius,16543671000119105,5233503015,^ESCT1529416,,1,31
16054541000006115,Fracture of right scaphoid bone,48391000087103,5423618018,^ESCT1605454,,1,31
