"medcodeid","term","snomedctconceptid","snomedctdescriptionid","originalreadcode","cleansedreadcode","observations","condition"
"9902251000006117","Vascular dementia without behavioural disturbance","16276361000119109","3447365013","^ESCTVA990225","",65,"Vascular dementia"
"2729791000000114","Predominantly cortical vascular dementia","1089531000000108","2729791000000114","^ESCT1171774","",48,"Vascular dementia"
"1972791000006115","Subcortical vascular dementia, other mixed symptoms","1972791000006104","1972791000006115","EMISICD10|F0124","",25,"Vascular dementia"
"1972821000006112","Mixed cortical and subcortical vascular dementia, without additional symptoms","1972821000006108","1972821000006112","EMISICD10|F0130","",24,"Vascular dementia"
"1972571000006110","Vascular dementia of acute onset, other mixed symptoms","1972571000006106","1972571000006110","EMISICD10|F0104","",23,"Vascular dementia"
"1972481000006114","Vascular dementia of acute onset, without additional symptoms","1972481000006105","1972481000006114","EMISICD10|F0100","",17,"Vascular dementia"
"5011261000006110","Multi-infarct state","230704000","345662012","^ESCTMU501126","",17,"Vascular dementia"
"1972751000006114","Subcortical vascular dementia, other symptoms, predominantly hallucinatory","1972751000006105","1972751000006114","EMISICD10|F0122","",14,"Vascular dementia"
"14805251000006118","Behavioural disturbance due to multi-infarct dementia","293671000119109","5025336010","^ESCT1480525","",14,"Vascular dementia"
"1973221000006118","Other vascular dementia, without additional symptoms","1973221000006102","1973221000006118","EMISICD10|F0180","",12,"Vascular dementia"
"2664601000006115","Multi-infarct dementia with delirium","10349009","18020012","^ESCTMU266460","",12,"Vascular dementia"
"1973551000006112","Vascular dementia, unspecified, other symptoms, predominantly depressive","1973551000006108","1973551000006112","EMISICD10|F0193","",10,"Vascular dementia"
"8033241000006113","Multi-infarct dementia due to atherosclerosis","106021000119105","3306365017","^ESCTMU803324","",10,"Vascular dementia"
"1973271000006117","Other vascular dementia, other symptoms, predominantly delusional","1973271000006101","1973271000006117","EMISICD10|F0181","",6,"Vascular dementia"
"1972711000006113","Subcortical vascular dementia, without additional symptoms","1972711000006109","1972711000006113","EMISICD10|F0120","",5,"Vascular dementia"
"1972771000006116","Subcortical vascular dementia, other symptoms, predominantly depressive","1972771000006100","1972771000006116","EMISICD10|F0123","",5,"Vascular dementia"
"1972831000006110","Mixed cortical and subcortical vascular dementia, other symptoms, predominantly delusional","1972831000006106","1972831000006110","EMISICD10|F0131","",5,"Vascular dementia"
"1973341000006118","Other vascular dementia, other symptoms, predominantly hallucinatory","1973341000006102","1973341000006118","EMISICD10|F0182","",5,"Vascular dementia"
"1973501000006113","Vascular dementia, unspecified, other symptoms, predominantly delusional","1973501000006109","1973501000006113","EMISICD10|F0191","",5,"Vascular dementia"
"1973531000006117","Vascular dementia, unspecified, other symptoms, predominantly hallucinatory","1973531000006101","1973531000006117","EMISICD10|F0192","",5,"Vascular dementia"
"2664611000006117","Vascular dementia, with delirium","10349009","18021011","^ESCTVA266461","",5,"Vascular dementia"
"7515061000006117","Vascular dementia in remission","698948009","2981750014","^ESCTVA751506","",5,"Vascular dementia"
"1972501000006116","Vascular dementia of acute onset, other symptoms, predominantly delusional","1972501000006100","1972501000006116","EMISICD10|F0101","",4,"Vascular dementia"
"3414261000006114","Multi infarct dementia","56267009","2921000019","^ESCTMU341426","",4,"Vascular dementia"
"1972871000006113","Mixed cortical and subcortical vascular dementia, other symptoms, predominantly hallucinatory","1972871000006109","1972871000006113","EMISICD10|F0132","",3,"Vascular dementia"
"3964651000006112","Subcortical arteriosclerotic encephalopathy","90099008","1235535015","^ESCTSU396465","",3,"Vascular dementia"
"8089241000006117","Vascular dementia with behavioral disturbance","288631000119104","3290002019","^ESCTVA808924","",3,"Vascular dementia"
"1972661000006119","Multi-infarct dementia, other symptoms, predominantly depressive","1972661000006103","1972661000006119","EMISICD10|F0113","",2,"Vascular dementia"
"1973381000006112","Other vascular dementia, other symptoms, predominantly depressive","1973381000006108","1973381000006112","EMISICD10|F0183","",2,"Vascular dementia"
"2722931000006114","Multi-infarct dementia with depression","14070001","23960010","^ESCTMU272293","",2,"Vascular dementia"
"2912321000006113","Multi-infarct dementia with delusions","25772007","43182011","^ESCTMU291232","",2,"Vascular dementia"
"3964661000006114","Subcortical atherosclerotic dementia","90099008","1235536019","^ESCTSU396466","",2,"Vascular dementia"
"1972621000006113","Multi-infarct dementia, other symptoms, predominantly delusional","1972621000006109","1972621000006113","EMISICD10|F0111","",1,"Vascular dementia"
"1972731000006119","Subcortical vascular dementia, other symptoms, predominantly delusional","1972731000006103","1972731000006119","EMISICD10|F0121","",1,"Vascular dementia"
"1972911000006111","Mixed cortical and subcortical vascular dementia, other symptoms, predominantly depressive","1972911000006107","1972911000006111","EMISICD10|F0133","",1,"Vascular dementia"
"2912331000006111","Vascular dementia, with delusions","25772007","43183018","^ESCTVA291233","",1,"Vascular dementia"
"3414231000006117","MID - Multi-infarct dementia","56267009","497558012","^ESCTMI341423","",1,"Vascular dementia"
"3653671000006113","Multi-infarct dementia, uncomplicated","70936005","117833018","^ESCTMU365367","",1,"Vascular dementia"
"7840641000006111","Ischemic vascular dementia","723123001","3334661017","^ESCTIS784064","",1,"Vascular dementia"
"353159016","Eosinophilic oesophagitis","235599003","353159016","J1017","J101700",21867,"Eosinophilic oesophagitis"
"5082651000006117","Eosinophilic esophagitis","235599003","353158012","^ESCTEO508265","",27,"Eosinophilic oesophagitis"
"3517781018","Food-induced eosinophilic oesophagitis","735455001","3517781018","^ESCT1165474","",1,"Eosinophilic oesophagitis"
"308753015","Psoriasis","9014002","15886015","M161z","M161z00",2817945,"Psoriasis"
"308725015","Psoriasis and similar disorders","9014002","15886015","M16","M16..00",697222,"Psoriasis"
"55627011","Psoriatic arthropathy","33339001","55627011","M160","M160.00",447712,"Psoriasis"
"308732012","Psoriasis unspecified","9014002","15886015","M1610","M161000",376291,"Psoriasis"
"61797015","Guttate psoriasis","37042000","61797015","M1616","M161600",254948,"Psoriasis"
"357623013","Scalp psoriasis","238608008","357623013","M16y0","M16y000",248983,"Psoriasis"
"55628018","Psoriatic arthritis","33339001","55628018","M160-1","M160.11",124264,"Psoriasis"
"251784017","H/O: psoriasis","161562002","251784017","14F2","14F2.00",115074,"Psoriasis"
"308776017","Psoriasis and similar disorders NOS","9014002","15886015","M16z","M16z.00",97548,"Psoriasis"
"4515241000006118","Psoriatic arthritis","156370009","243961019","^ESCTPS451524","",61695,"Psoriasis"
"312521010","Psoriasis with arthropathy","33339001","55626019","Nyu13","Nyu1300",54799,"Psoriasis"
"308747015","Pustular psoriasis","200973000","308747015","M161D","M161D00",46266,"Psoriasis"
"1629311000006117","Chronic large plaque psoriasis","402307000","1781467015","M161F-1","M161F11",43120,"Psoriasis"
"198791000006112","Plaque psoriasis","200965009","308736010","M1614","M161400",23983,"Psoriasis"
"308730016","Psoriatic arthropathy NOS","33339001","55627011","M160z","M160z00",20001,"Psoriasis"
"308750017","Psoriasis vulgaris","200975007","308750017","M161F","M161F00",13733,"Psoriasis"
"308745011","Psoriasis plantaris","200971003","308745011","M161B","M161B00",13538,"Psoriasis"
"308731017","Other psoriasis","9014002","15886015","M161","M161.00",11714,"Psoriasis"
"483572016","Palmoplantar pustular psoriasis","27520001","483572016","M166","M166.00",11515,"Psoriasis"
"308744010","Psoriasis palmaris","200970002","308744010","M161A","M161A00",10505,"Psoriasis"
"1887571000006111","Flexural psoriasis","238600001","357612014","M161J","M161J00",8941,"Psoriasis"
"14197581000006110","Psoriasis of scalp","238608008","4169972011","^ESCT1419758","",6581,"Psoriasis"
"2941481000006119","Pustular psoriasis of palms and soles","27520001","483575019","^ESCTPU294148","",5895,"Psoriasis"
"308752013","Erythrodermic psoriasis","200977004","308752013","M161H","M161H00",4700,"Psoriasis"
"309331014","[X]Other psoriasis","9014002","15886015","Myu30","Myu3000",4061,"Psoriasis"
"359310019","Juvenile arthritis in psoriasis","239803008","359310019","N0452","N045200",3112,"Psoriasis"
"198881000006116","Psoriatic spondylitis","200956002","308727011","M1600","M160000",1684,"Psoriasis"
"905681000006112","[RFC] Reason for care : Psoriasis","905681000006108","905681000006112","HNG0042","",1454,"Psoriasis"
"1583831000006118","Chronic large plaque psoriasis","1583831000006102","1583831000006118","EMISNQCH31","",1315,"Psoriasis"
"4805761000006111","Psoriatic arthritis with spine involvement","200956002","308726019","^ESCTPS480576","",1232,"Psoriasis"
"308733019","Psoriasis annularis","200962007","308733019","M1611","M161100",1135,"Psoriasis"
"308735014","Psoriasis diffusa","200964008","308735014","M1613","M161300",1098,"Psoriasis"
"5123911000006115","Psoriasis of nail","238604005","357618013","^ESCTPS512391","",526,"Psoriasis"
"308734013","Psoriasis circinata","200963002","308734013","M1612","M161200",511,"Psoriasis"
"308749017","Psoriasis universalis","200974006","308749017","M161E","M161E00",445,"Psoriasis"
"5139461000006110","Juvenile psoriatic arthritis with psoriasis","239803008","359309012","^ESCTJU513946","",365,"Psoriasis"
"6663551000006115","Chronic small plaque psoriasis","402308005","1781468013","^ESCTCH666355","",278,"Psoriasis"
"308746012","Psoriasis punctata","200972005","308746012","M161C","M161C00",240,"Psoriasis"
"359321011","Distal interphalangeal psoriatic arthropathy","239812005","359321011","M1601","M160100",213,"Psoriasis"
"308739015","Psoriasis geographica","200966005","308739015","M1615","M161500",191,"Psoriasis"
"2555281000006114","Acute palmoplantar pustular psoriasis","3533007","1228270014","^ESCTAC255528","",145,"Psoriasis"
"14197561000006117","Psoriasis with eczema","238602009","4230253015","^ESCT1419756","",117,"Psoriasis"
"308741019","Psoriasis inveterata","200968006","308741019","M1618","M161800",106,"Psoriasis"
"2913641000006118","Sebopsoriasis","25847004","2912919010","^ESCTSE291364","",102,"Psoriasis"
"6663571000006113","Chronic stable plaque psoriasis","402310007","1781470016","^ESCTCH666357","",79,"Psoriasis"
"5139581000006118","Psoriatic arthritis with distal interphalangeal joint involvement","239812005","359320012","^ESCTPS513958","",77,"Psoriasis"
"5123891000006117","Eczematised psoriasis","238603004","357616012","^ESCTEC512389","",76,"Psoriasis"
"5123881000006115","Psoriasis-eczema overlap condition","238602009","357615011","^ESCTPS512388","",67,"Psoriasis"
"5123921000006111","Psoriatic nail dystrophy","238605006","357620011","^ESCTPS512392","",60,"Psoriasis"
"5123871000006118","Unstable psoriasis","238601002","357613016","^ESCTUN512387","",53,"Psoriasis"
"5139451000006113","Juvenile psoriatic arthritis","239802003","359308016","^ESCTJU513945","",50,"Psoriasis"
"4805871000006113","Rupioid psoriasis","200969003","308742014","^ESCTRU480587","",39,"Psoriasis"
"5123971000006112","Köbner psoriasis","238609000","2818698013","^ESCTKÖ512397","",34,"Psoriasis"
"4515261000006119","PA (Psoriatic arthritis)","156370009","3083707018","^ESCTPA451526","",31,"Psoriasis"
"8407011000006110","PsAID-9 (Psoriatic Arthritis Impact of Disease 9) questionnaire","1025811000000109","2589411000000118","^ESCTPS840701","",30,"Psoriasis"
"14197571000006112","Eczematous psoriasis","238602009","4212204016","^ESCT1419757","",30,"Psoriasis"
"5123941000006116","Psoriatic nail pitting","238606007","357621010","^ESCTPS512394","",27,"Psoriasis"
"198841000006110","Psoriasis ostracea","200969003","308742014","M1619","M161900",25,"Psoriasis"
"2589441000000117","Psoriatic Arthritis Impact of Disease 9 questionnaire score","1036471000000109","2616111000000110","38Va","",23,"Psoriasis"
"308740018","Psoriasis gyrata","200967001","308740018","M1617","M161700",22,"Psoriasis"
"3821921000006111","Localised pustular psoriasis","81271001","504652017","^ESCTLO382192","",20,"Psoriasis"
"5123951000006119","Psoriatic onycholysis","238607003","357622015","^ESCTPS512395","",19,"Psoriasis"
"6663621000006111","Vulval psoriasis","402314003","1787556010","^ESCTVU666362","",18,"Psoriasis"
"2913591000006111","Seborrhoeic psoriasis","25847004","43312011","^ESCTSE291359","",17,"Psoriasis"
"5139601000006111","Psoriatic dactylitis","239813000","359323014","^ESCTPS513960","",17,"Psoriasis"
"4805831000006110","Discoid psoriasis","200965009","308738011","^ESCTDI480583","",13,"Psoriasis"
"4805991000006118","Exfoliative dermatitis due to psoriasis","200977004","1784830015","^ESCTEX480599","",13,"Psoriasis"
"4805751000006114","Psoriasis and similar disorders","200955003","308725015","^ESCTPS480575","",12,"Psoriasis"
"2913601000006115","Seborrheic psoriasis","25847004","43308017","^ESCTSE291360","",11,"Psoriasis"
"6663721000006115","Facial psoriasis","402320002","1787559015","^ESCTFA666372","",9,"Psoriasis"
"4805951000006112","Psoriasis vulgaris & (Chronic large plaque psoriasis)","200975007","556541000000118","^ESCTPS480595","",8,"Psoriasis"
"5123861000006113","Inverse psoriasis","238600001","2912676014","^ESCTIN512386","",8,"Psoriasis"
"5123931000006114","Psoriatic nail involvement","238605006","357619017","^ESCTPS512393","",7,"Psoriasis"
"6663661000006117","Perianal psoriasis","402316001","1787558011","^ESCTPE666366","",7,"Psoriasis"
"357612014","Flexural psoriasis","238600001","1876481000006119","ESCTFL1","",6,"Psoriasis"
"2941451000006110","Chronic palmoplantar pustular psoriasis","27520001","483571011","^ESCTCH294145","",6,"Psoriasis"
"4541291000006118","History of psoriasis","161562002","2986948013","^ESCTHI454129","",6,"Psoriasis"
"4805821000006112","Nummular psoriasis","200965009","308737018","^ESCTNU480582","",6,"Psoriasis"
"5124001000006116","Generalised pustular psoriasis","238612002","357627014","^ESCTGE512400","",6,"Psoriasis"
"6663591000006114","Acute guttate psoriasis","402312004","1781472012","^ESCTAC666359","",6,"Psoriasis"
"6663671000006112","Generalised psoriasis","402317005","1773603013","^ESCTGE666367","",6,"Psoriasis"
"6663751000006112","Hypertrophic palmoplantar psoriasis","402323000","1781482013","^ESCTHY666375","",6,"Psoriasis"
"5124021000006114","Generalised pustular psoriasis of pregnancy","238613007","357630019","^ESCTGE512402","",5,"Psoriasis"
"6663651000006119","Psoriasis of perianal skin","402316001","1781476010","^ESCTPS666365","",4,"Psoriasis"
"3096771000006113","Psoriasis guttata","37042000","61798013","^ESCTPS309677","",3,"Psoriasis"
"4515251000006116","PsA (Psoriatic arthritis)","156370009","3083653019","^ESCTPS451525","",3,"Psoriasis"
"5124051000006117","Juvenile pustular psoriasis","238615000","357632010","^ESCTJU512405","",3,"Psoriasis"
"6663601000006118","Guttate flare of psoriasis with preexisting plaques","402313009","1781473019","^ESCTGU666360","",3,"Psoriasis"
"6663741000006110","Hypertrophic palmar psoriasis","402322005","1781481018","^ESCTHY666374","",3,"Psoriasis"
"3117871000006112","Generalised pustular psoriasis of von Zumbush","38360005","490386015","^ESCTGE311787","",2,"Psoriasis"
"5123901000006118","Eczematized psoriasis","238603004","357617015","^ESCTEC512390","",2,"Psoriasis"
"5124041000006119","Pustular psoriasis in children","238614001","357631015","^ESCTPU512404","",2,"Psoriasis"
"5124061000006115","Infantile pustular psoriasis","238616004","357633017","^ESCTIN512406","",2,"Psoriasis"
"6663581000006111","Actively extending plaque psoriasis","402311006","1781471017","^ESCTAC666358","",2,"Psoriasis"
"6663641000006116","Penile psoriasis","402315002","1787557018","^ESCTPE666364","",2,"Psoriasis"
"6663711000006111","Psoriasis of face","402320002","1781479015","^ESCTPS666371","",2,"Psoriasis"
"5123981000006110","Kobner psoriasis","238609000","2818697015","^ESCTKO512398","",1,"Psoriasis"
"6663561000006118","Chronic guttate pattern psoriasis","402309002","1781469017","^ESCTCH666356","",1,"Psoriasis"
"6663611000006115","Psoriasis of vulva","402314003","1781474013","^ESCTPS666361","",1,"Psoriasis"
"6663801000006117","Acute generalised pustular flare of preexisting plaque psoriasis","402327004","1773605018","^ESCTAC666380","",1,"Psoriasis"
"6663821000006110","Childhood pustular psoriasis","402328009","1781485010","^ESCTCH666382","",1,"Psoriasis"
"6797961000006113","Iritis in psoriatic arthritis","410482007","2472143017","^ESCTIR679796","",1,"Psoriasis"
"7819261000006114","Anogenital psoriasis","721538000","3325411018","^ESCTAN781926","",1,"Psoriasis"
"9310141000006117","Psoriatic arthritis mutilans","10629311000119107","3043836013","^ESCTPS931014","",1,"Psoriasis"
"13637071000006110","Pustular psoriasis of sole of foot","784327005","3764874011","^ESCT1363707","",1,"Psoriasis"
"14531631000006118","Oligoarticular psoriatic arthritis","1162306005","4588951018","^ESCT1453163","",1,"Psoriasis"
"98642019","Hidradenitis suppurativa","59393003","98642019","M25y1-1","M25y111",295899,"Hidradenitis suppurativa"
"115847018","Hidradenitis","69741000","115847018","M25y1","M25y100",62664,"Hidradenitis suppurativa"
"3464541000006111","Suppurative hidradenitis","59393003","1231953010","^ESCTSU346454","",59,"Hidradenitis suppurativa"
"6670471000006113","Axillary hidradenitis suppurativa","402826001","1781918014","^ESCTAX667047","",28,"Hidradenitis suppurativa"
"3464511000006112","Hidradenitis axillaris","59393003","98643012","^ESCTHI346451","",9,"Hidradenitis suppurativa"
"6694031000006115","Follicular occlusion triad","404175004","1788008012","^ESCTFO669403","",7,"Hidradenitis suppurativa"
"6670461000006118","Retro-auricular cysts (hidradenitis)","402825002","1781917016","^ESCTRE667046","",3,"Hidradenitis suppurativa"
"6670491000006114","Vulval hidradenitis suppurativa","402828000","1781920012","^ESCTVU667049","",3,"Hidradenitis suppurativa"
"6694021000006118","Follicular occlusion triad - hidradenitis, acne conglobata, dissecting cellulitis of scalp","404175004","1783128011","^ESCTFO669402","",3,"Hidradenitis suppurativa"
"6670481000006111","Anogenital hidradenitis suppurativa","402827005","1781919018","^ESCTAN667048","",2,"Hidradenitis suppurativa"
"15017081000006116","Hidradenitis suppurativa of multiple sites","1254915007","5143849018","^ESCT1501708","",1,"Hidradenitis suppurativa"
"94884017","Acute myocardial infarction","57054005","94884017","G30","G30..00",2008762,"Myocardial infarction"
"1780501013","Acute non-ST segment elevation myocardial infarction","401314000","1780501013","G3071","G307100",685257,"Myocardial infarction"
"219531000000117","MI - acute myocardial infarction","57054005","94884017","G30-5","G30..15",359080,"Myocardial infarction"
"1780491019","Acute ST segment elevation myocardial infarction","401303003","1780491019","G30X0","G30X000",297045,"Myocardial infarction"
